
2024/10/10 (12:06:43) | ===> btop++ v.1.4.0
2024/10/10 (12:06:43) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/10 (12:08:14) | ===> btop++ v.1.4.0
2024/10/10 (12:08:14) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/10 (12:10:03) | ===> btop++ v.1.4.0
2024/10/10 (12:10:03) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/10 (12:22:23) | ===> btop++ v.1.4.0
2024/10/10 (12:22:23) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/10 (12:45:35) | ===> btop++ v.1.4.0
2024/10/10 (12:45:35) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/10 (12:54:15) | ===> btop++ v.1.4.0
2024/10/10 (12:54:15) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/10 (12:56:50) | ===> btop++ v.1.4.0
2024/10/10 (12:56:50) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/10 (12:56:55) | ===> btop++ v.1.4.0
2024/10/10 (12:56:55) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/10 (13:43:07) | ===> btop++ v.1.4.0
2024/10/10 (13:43:07) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/10 (13:54:11) | ===> btop++ v.1.4.0
2024/10/10 (13:54:11) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/11 (13:36:51) | ===> btop++ v.1.4.0
2024/12/11 (13:36:51) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/31 (21:07:53) | ===> btop++ v.1.4.0
2024/12/31 (21:07:53) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/02 (15:20:31) | ===> btop++ v.1.4.0
2025/01/02 (15:20:31) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/02 (15:20:36) | ===> btop++ v.1.4.0
2025/01/02 (15:20:36) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/13 (18:44:05) | ===> btop++ v.1.4.0
2025/01/13 (18:44:05) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/13 (18:44:36) | ===> btop++ v.1.4.0
2025/01/13 (18:44:36) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/17 (09:52:31) | ===> btop++ v.1.4.0
2025/01/17 (09:52:31) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/17 (10:19:13) | ===> btop++ v.1.4.0
2025/01/17 (10:19:13) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/20 (16:00:03) | ===> btop++ v.1.4.0
2025/01/20 (16:00:03) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/20 (16:00:20) | ===> btop++ v.1.4.0
2025/01/20 (16:00:20) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/20 (21:46:24) | ===> btop++ v.1.4.0
2025/01/20 (21:46:24) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/27 (20:59:11) | ===> btop++ v.1.4.0
2025/01/27 (20:59:11) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/31 (14:33:43) | ===> btop++ v.1.4.0
2025/01/31 (14:33:43) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/31 (14:35:04) | ===> btop++ v.1.4.0
2025/01/31 (14:35:04) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/21 (15:19:57) | ===> btop++ v.1.4.0
2025/02/21 (15:19:57) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/03 (09:41:43) | ===> btop++ v.1.4.0
2025/03/03 (09:41:43) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/05 (09:30:34) | ===> btop++ v.1.4.0
2025/03/05 (09:30:34) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/05 (17:12:05) | ===> btop++ v.1.4.0
2025/03/05 (17:12:05) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/25 (14:48:31) | ===> btop++ v.1.4.0
2025/03/25 (14:48:31) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/04 (09:44:41) | ===> btop++ v.1.4.0
2025/04/04 (09:44:41) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/16 (09:23:12) | ===> btop++ v.1.4.0
2025/04/16 (09:23:12) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/16 (09:24:50) | ===> btop++ v.1.4.0
2025/04/16 (09:24:50) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/16 (11:20:14) | ===> btop++ v.1.4.0
2025/04/16 (11:20:14) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/16 (16:53:15) | ===> btop++ v.1.4.0
2025/04/16 (16:53:15) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/16 (17:31:23) | ===> btop++ v.1.4.0
2025/04/16 (17:31:23) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/17 (10:08:35) | ===> btop++ v.1.4.0
2025/04/17 (10:08:35) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/17 (10:09:09) | ===> btop++ v.1.4.0
2025/04/17 (10:09:09) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/22 (16:43:26) | ===> btop++ v.1.4.0
2025/04/22 (16:43:26) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/25 (10:56:05) | ===> btop++ v.1.4.0
2025/04/25 (10:56:05) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/25 (10:57:42) | ===> btop++ v.1.4.0
2025/04/25 (10:57:42) | WARNING: Intel GPU: Failed to initialize PMU
2025/04/25 (10:57:45) | WARNING: Failed to join _runner thread on exit!

2025/04/25 (11:02:25) | ===> btop++ v.1.4.0
2025/04/25 (11:02:25) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/25 (11:05:12) | ===> btop++ v.1.4.0
2025/04/25 (11:05:12) | WARNING: Intel GPU: Failed to initialize PMU
